i pl al
0 0.0002269558608531952 -255.52073669433594
1 8.07169999461621e-05 -480.12371826171875
2 3.0193144993972965e-05 -654.7025756835938
3 3.197310070390813e-05 -936.9862670898438
4 1.505514774180483e-05 -1754.673828125
5 1.809538844099734e-05 -1102.227294921875
6 7.0502633207070176e-06 -2579.41259765625
7 8.082032763923053e-06 -1590.4215087890625
8 9.13942676561419e-06 -1539.684326171875
9 1.0192102308792528e-05 -2410.708984375
10 1.127611358242575e-05 -2761.64404296875
11 1.232547583640553e-05 -2907.160400390625
12 1.3346916603040881e-05 -2313.023681640625
13 1.4402546185010578e-05 -4596.89013671875
14 1.5426365280291066e-05 -1521.443359375
15 1.6463600331917405e-05 -3821.430908203125
16 1.74827546288725e-05 -4060.53515625
17 1.8509770598029718e-05 -4138.3935546875
18 1.957764834514819e-05 -4069.995849609375
19 2.057894744211808e-05 -4744.88232421875
20 2.15057771129068e-05 -7282.86767578125
21 2.238979868707247e-05 -1175.4407958984375
22 2.3342947315541096e-05 -8469.8134765625
23 2.423158730380237e-05 -4161.29150390625
24 2.5132625523838215e-05 -5100.8564453125
25 2.6048954168800265e-05 -9181.2490234375
26 2.7014510123990476e-05 -9695.7001953125
27 2.8032158297719434e-05 -9841.1337890625
28 2.9137994715711102e-05 -9693.529296875
29 3.031235610251315e-05 -10818.0634765625
30 3.147499592159875e-05 -11207.2421875
31 3.2558054954279214e-05 -7198.20361328125
32 3.3631476981099695e-05 -7410.1259765625
33 3.461645246716216e-05 -7369.73974609375
34 3.561703852028586e-05 -2754.0166015625
35 3.66236999980174e-05 -7992.296875
36 3.758937236852944e-05 -8177.484375
37 3.861427103402093e-05 -8372.6015625
38 3.960916001233272e-05 -13876.8388671875
39 4.0581457142252475e-05 -14189.71875
40 4.1567778680473566e-05 -14505.736328125
41 4.2556854168651626e-05 -14506.568359375
42 4.35564033978153e-05 -9292.708984375
43 4.454749068827368e-05 -15452.154296875
44 4.5547294575953856e-05 -9653.6591796875
45 4.655750672100112e-05 -9834.673828125
46 4.754019755637273e-05 -16038.556640625
47 4.8544265155214816e-05 -16753.05078125
48 4.957725104759447e-05 -15865.6591796875
49 5.060523108113557e-05 -17337.685546875
